Medical Term,Frequency
minutes,945
endotracheal,944
previous,942
estimated,937
lesions,934
cancer,931
blade,929
cardiac,924
full,923
portion,920
mri,919
rhythm,911
possible,911
emergency,911
french,909
heent,907
age,900
high,899
week,897
superior,897
course,895
table,894
biopsy,892
space,886
breath,885
free,880
external,880
months,878
body,875
sent,865
scan,862
breast,858
motion,857
disc,857
masses,854
assessment,853
need,853
felt,852
ray,851
moderate,850
hours,845
region,834
diabetes,832
cord,832
dissected,830
q,829
carotid,828
around,827
operation,824
increased,816
current,814
times,814
weakness,811
motor,809
adequate,807
admitted,806
placement,803
indications,801
distress,801
minimal,795
count,791
sounds,790
developed,789
advanced,789
shoulder,787
informed,787
deep,783
shows,782
lobe,780
range,778
lungs,777
currently,777
continue,776
local,775
type,773
technique,771
arm,769
tenderness,766
leg,766
upon,765
injury,764
wire,761
started,761
ventricular,758
detail,757
nontender,754
internal,751
decreased,751
several,750
saline,745
underwent,744
lumbar,743
spinal,742
dorsal,736
drug,734
cut,732
sheath,732
transverse,732
alert,730
sinus,728
atrial,728
otherwise,725
alcohol,725
admission,723
vomiting,723
valve,719
swelling,719
long,713
consistent,712
transferred,712
injected,712
nausea,710
four,709
uterus,701
colon,701
appears,698
open,695
sleep,693
benefits,691
recent,690
complete,689
lung,688
subsequently,687
temperature,686
passed,685
r,684
complaint,682
amount,679
test,679
aortic,679
risk,677
description,676
turned,676
repair,675
closure,675
office,674
function,674
tourniquet,674
additional,674
h,674
dressing,673
lidocaine,671
failure,668
length,666
shortness,664
urine,662
fever,661
liver,658
reported,658
n,658
ankle,656
less,655
reviewed,653
visualized,651
pounds,651
air,650
case,649
electrocautery,646
known,643
cavity,642
light,641
oral,638
brain,636
followup,632
procedures,632
contrast,629
satisfactory,627
discharged,625
system,625
hip,625
change,624
syndrome,623
cardiovascular,621
mid,621
port,618
vessel,617
continued,617
department,616
graft,614
night,613
reports,613
ear,611
reason,609
morning,608
received,606
neurologic,605
reveals,605
sedation,604
like,604
treated,603
work,601
laboratory,598
direct,598
pathology,598
solution,597
taking,595
base,593
hernia,592
strength,591
flap,590
vision,589
muscles,588
removal,587
presented,587
anesthetic,586
middle,585
note,585
screws,583
get,582
carefully,580
excellent,579
stent,575
thyroid,574
make,574
month,571
cell,570
medication,569
scissors,567
chief,566
administered,564
auscultation,564
proceed,560
control,559
hand,558
antibiotics,556
completed,554
pelvis,554
metatarsal,552
dry,548
line,547
limits,547
associated,546
supple,544
oriented,544
degrees,543
mucosa,542
nose,540
abc,538
marcaine,537
previously,536
clinic,535
going,534
areas,534
abnormalities,533
unable,532
kidney,532
still,531
active,531
return,528
dose,528
canal,528
ultrasound,528
xyz,528
data,525
murmur,524
laterally,524
abnormal,523
pelvic,522
central,520
slightly,520
lymph,520
correct,520
venous,518
tissues,517
vascular,517
initially,517
denied,515
study,514
studies,513
descending,510
opened,510
although,509
flow,509
block,508
greater,508
surface,507
sensory,507
mmhg,507
sponge,507
prostate,505
presents,503
recurrent,503
needed,501
non,501
questions,500
resection,500
equal,499
mouth,499
visualization,499
rest,498
secured,498
specimen,498
sharp,497
activity,497
achieved,496
tear,495
throat,493
tip,493
compression,491
cough,491
across,488
aorta,488
grade,487
include,486
scope,486
carpal,485
likely,485
recently,484
primary,484
third,484
every,483
vaginal,479
round,479
subcuticular,479
stomach,479
directed,479
visual,478
completely,478
speech,477
cuff,477
demonstrated,476
bovie,476
described,475
palpable,473
much,473
reflexes,473
quadrant,473
better,471
drain,470
common,469
eyes,468
stated,467
injection,467
gait,467
obstruction,466
returned,466
confirmed,466
pulses,465
uterine,464
quite,463
stress,463
father,462
diet,462
standard,461
branch,460
results,458
minute,458
visit,457
mr,457
urinary,456
plantar,456
patent,455
gallbladder,455
ii,453
divided,453
complaints,452
unit,452
manner,452
plate,450
stage,449
pupils,449
incised,446
cautery,445
extended,445
facial,445
based,444
rectal,444
reactive,444
prolene,443
creatinine,443
disk,442
epinephrine,442
evaluated,442
headaches,440
entire,440
main,440
sac,437
hemoglobin,437
explained,437
went,436
units,435
fat,435
take,435
little,435
nylon,435
related,434
clinical,432
sided,432
improved,432
entered,431
appear,431
screw,428
process,427
nerves,426
consultation,426
depression,425
began,424
report,424
diagnosed,424
go,423
capsule,423
therefore,423
child,423
adhesions,421
new,421
grossly,420
foley,420
layer,418
physician,418
reduction,418
blunt,418
recommended,417
abcd,415
five,415
marked,414
carcinoma,413
single,411
via,411
monocryl,411
temporal,410
grasped,409
diarrhea,409
feet,409
pleasant,409
images,407
bed,406
peripheral,406
short,406
similar,406
irrigation,406
drainage,406
ekg,406
palpation,405
created,405
erythema,404
saw,404
fixation,404
scalpel,403
tunnel,402
insertion,402
utilizing,401
later,400
testing,400
sensation,400
initial,399
vessels,399
guidewire,398
repeat,398
regarding,396
fibrillation,396
partial,395
disorder,395
counts,394
management,394
numbness,394
help,393
distally,392
pregnancy,391
remaining,391
cervix,391
diagnostic,391
controlled,390
addition,390
neurological,389
decompression,389
twice,387
except,386
inguinal,386
balloon,386
intraoperative,386
lives,386
ligated,385
musculoskeletal,384
cranial,384
remove,384
deformity,383
lymphadenopathy,382
enlarged,382
bony,382
nodes,381
face,381
effusion,381
defect,380
mom,380
silk,378
aspirin,378
degenerative,377
vertebral,377
g,377
half,377
antibiotic,376
oxygen,376
respirations,376
hour,376
came,375
clamp,375
laparoscopic,374
steri,373
root,372
degree,372
potassium,372
cyanosis,371
way,371
gross,370
psychiatric,370
proximally,369
stitch,368
chamber,368
suite,368
asked,368
retracted,368
excised,367
appearing,367
normocephalic,367
section,367
tibial,366
delivery,365
final,365
pneumonia,365
catheterization,365
movements,363
oropharynx,363
field,363
strips,362
discomfort,362
residual,362
chills,362
outpatient,362
bypass,361
complex,360
systolic,360
instructions,360
guide,359
order,359
red,359
put,359
indication,359
inspected,358
structures,358
trocar,358
close,357
anemia,356
toe,354
glucose,354
hematoma,354
told,353
referred,353
ventricle,352
problem,352
utilized,352
obvious,351
excision,351
esophagus,350
easily,350
thought,347
aspiration,347
membranes,346
bipolar,346
teeth,345
limited,345
appearance,345
positioned,345
focal,344
flexion,344
tobacco,342
benign,342
gentleman,342
probably,341
near,340
rectus,340
hearing,340
layers,340
released,340
finger,339
anteriorly,338
bit,337
six,337
please,337
anastomosis,337
ulnar,337
segment,337
underlying,336
died,336
copiously,336
away,336
dilated,335
chart,335
extubated,335
device,334
extension,334
circumflex,333
baby,333
suction,331
healthy,331
fusion,331
pleural,331
node,330
remained,329
parents,329
increase,328
episodes,328
apparently,327
epidural,327
recommendations,327
copious,326
show,325
mental,324
somewhat,323
straight,323
cannula,322
check,322
another,321
resected,321
tongue,321
axis,321
reapproximated,321
trachea,321
superficial,321
children,320
poor,320
material,319
tubes,319
cyst,318
fifth,318
plain,318
adenopathy,318
mentioned,318
issues,317
medially,317
worse,316
ms,315
release,315
radial,315
health,315
daughter,315
peritoneum,315
incisions,315
number,314
gi,314
flushed,313
apparent,313
stroke,312
double,312
wife,312
center,312
smoking,311
wrist,311
osteotomy,311
clock,310
improvement,310
headache,310
tone,310
biopsies,310
ring,309
arteries,308
suctioned,307
arthritis,307
csf,307
scar,307
fluids,307
diffuse,307
forceps,306
resolved,306
sites,305
cystic,305
either,305
think,305
diameter,304
betadine,304
intravenous,303
protein,303
septum,303
perform,303
call,303
rash,302
term,302
introduced,302
clubbing,302
extending,302
colonoscopy,302
lead,301
alternatives,301
completion,300
capsular,300
tract,300
clamped,300
delivered,299
axillary,299
activities,299
presentation,298
duct,298
occasional,298
movement,298
radiation,297
levels,297
rule,295
lid,295
cells,295
echocardiogram,294
routine,294
posteriorly,294
coumadin,293
married,293
iliac,293
sign,293
transected,292
junction,292
component,291
appreciated,290
bun,290
moist,290
cartilage,290
hematocrit,288
workup,288
said,288
abuse,288
chromic,288
shunt,288
atraumatic,288
exposure,287
breathing,287
exposed,287
abscess,287
inch,286
staples,286
gauge,286
extensive,286
memory,286
rays,285
information,285
husband,285
calcium,285
difficult,285
response,284
intervention,284
part,283
us,283
cbc,283
onset,283
edges,282
culture,282
actually,281
saturation,281
subjective,281
state,281
eight,281
least,281
approximated,281
drill,280
floor,280
trial,280
pedicle,280
immediately,280
needs,279
details,279
murmurs,279
flexor,278
episode,278
drains,278
fluoroscopy,278
instructed,278
imaging,278
tooth,277
ears,277
inspection,277
height,277
feel,276
obstructive,276
reflux,276
involving,276
insulin,276
inferiorly,276
frontal,275
seems,275
allowed,275
amounts,275
measuring,274
lens,274
myocardial,274
superiorly,274
th,273
view,273
towards,273
reflected,273
continuous,272
longus,272
great,272
anxiety,271
scheduled,271
woman,270
sutured,270
dura,270
elbow,269
feeling,269
specimens,269
cultures,269
ejection,269
fetal,268
knife,268
feels,268
appropriately,268
withdrawn,267
stool,267
provided,267
examined,266
school,265
pacemaker,265
oblique,265
allow,264
replacement,264
self,264
lumen,264
monitoring,264
angiogram,263
inflated,263
checked,263
extensor,263
contact,263
fall,262
trauma,262
hemorrhage,261
ureteral,261
required,261
foreign,261
access,261
fevers,260
afebrile,260
thigh,260
seizure,259
warm,258
tied,258
versus,258
unknown,257
sodium,257
accident,257
avoid,256
continues,256
thoracic,256
overall,255
bruits,255
airway,254
symmetric,254
vitamin,254
period,253
gave,253
mildly,253
lad,252
mellitus,252
prescription,252
measures,252
nourished,252
infiltrated,252
worsening,251
awake,251
mitral,251
gastric,251
separate,251
simple,251
caucasian,250
early,250
hypertrophy,249
obtain,249
allergic,249
infant,249
angiography,249
notes,249
gastrointestinal,248
legs,248
measured,248
awakened,248
joints,248
flat,248
views,248
included,248
plane,248
sharply,248
rectum,247
reduced,247
angle,247
decided,247
mcg,246
fraction,246
appendix,246
overlying,246
phalanx,246
sure,245
longitudinal,245
palate,245
affect,244
bp,244
opening,244
takes,243
xylocaine,243
stay,243
evaluate,243
slight,243
margin,242
palpated,242
nondistended,242
seizures,242
speculum,241
veins,241
k,241
food,241
fluoroscopic,241
held,241
result,240
fact,240
penis,240
tylenol,240
fairly,240
metzenbaum,239
date,239
mood,239
pole,238
exercise,238
advised,238
answered,238
service,238
rashes,238
nature,237
getting,237
laceration,237
possibility,237
versed,237
discussion,237
implant,236
increasing,236
undergo,235
took,235
st,235
pack,235
ap,235
extraocular,235
fatigue,235
many,235
volume,234
available,234
discectomy,234
whether,234
illicit,233
hematuria,233
became,233
instrument,233
asthma,232
major,232
peritoneal,232
proceeded,232
patella,232
progressive,232
intubated,231
inches,231
pending,231
noticed,231
comes,231
disposition,230
intermittent,230
walking,230
bag,230
thin,230
rotator,229
monitored,229
persistent,228
ligaments,228
support,228
touch,228
foramen,227
cataract,227
marginal,227
possibly,226
appointment,225
future,225
chemotherapy,225
options,225
apnea,225
radiculopathy,225
working,225
surrounding,224
understood,224
lab,224
walk,223
dyspnea,223
pink,222
wheezing,222
pressures,222
attached,222
septal,221
stone,221
smoke,221
branches,221
dressings,220
pattern,220
hysterectomy,220
even,219
dental,219
regurgitation,218
give,218
induced,218
ascending,218
edge,218
inr,218
indicated,218
decrease,217
microscope,217
yesterday,217
congestion,217
modified,217
narrowing,217
retractor,216
subclavian,216
nursing,216
man,216
sitting,216
clean,215
cutting,215
cannot,215
emg,214
maintained,214
wounds,214
tests,214
toes,214
significantly,214
packed,214
according,213
especially,213
agreed,212
separated,212
arterial,212
iii,212
says,211
metastatic,211
curved,211
groin,210
sagittal,210
polyps,210
incontinence,210
american,209
heparin,209
wedge,209
clamps,209
intubation,208
deficits,208
insufficiency,208
transported,208
noncontributory,208
alignment,208
living,208
consult,208
co,207
signal,207
sister,207
cerebral,207
eating,207
remainder,207
ureter,207
really,207
lot,207
cholecystectomy,207
protocol,206
brief,206
linear,206
atrium,206
sides,206
rotation,206
kg,205
obesity,205
start,205
facet,205
urethra,205
attempt,205
improve,205
stopped,205
ordered,205
rubs,205
border,205
infarction,204
painful,204
neuropathy,204
brother,204
apex,204
recommend,204
sclerae,204
forearm,203
herniated,203
pulled,202
location,202
scalp,202
thyromegaly,202
drugs,202
puncture,202
elevation,202
got,202
umbilicus,201
bluntly,201
slowly,201
connected,201
objective,201
endoscopy,200
interval,200
fistula,200
basis,199
form,199
prominent,199
sigmoid,199
hole,199
station,198
never,198
excess,198
occurred,197
retrograde,197
potential,197
polyp,197
diagonal,197
cross,197
margins,196
approach,196
dressed,195
inflammation,195
dysphagia,195
proper,195
inflammatory,195
genitourinary,195
though,195
frequency,194
necessary,194
pt,194
essentially,194
esophageal,193
demonstrates,193
combination,193
gu,193
pacu,193
attempted,192
instrumentation,192
surgeries,192
gland,192
color,192
filled,192
posterolateral,192
functional,191
biceps,191
er,191
complaining,191
platelet,191
prednisone,191
summary,191
cooperative,191
wires,191
plus,190
hands,190
cecum,190
v,190
involved,190
hospitalization,190
thickening,190
person,190
figure,190
starting,190
tympanic,190
median,190
dysfunction,189
thoroughly,189
aneurysm,189
thickness,189
atrophy,189
cleared,189
mucosal,188
nucleus,188
spontaneous,188
hypothyroidism,188
monitor,188
vagina,188
cause,188
cleaned,187
appetite,187
african,187
try,187
couple,186
spondylosis,186
meds,185
horizontal,185
induction,185
palpitations,185
knees,185
locking,185
lv,184
hx,184
sterilely,184
digital,184
reaction,184
congestive,184
effect,184
tension,184
reveal,184
decision,184
consisting,184
changed,183
set,183
best,183
requiring,183
caliber,183
stimulation,182
planned,182
umbilical,182
swallowing,182
cn,182
lasix,182
cement,182
identify,182
padded,181
femur,181
ovary,181
doctor,181
careful,181
occasionally,181
orbital,181
complains,180
debridement,180
pericardial,180
removing,180
pocket,180
injuries,179
tested,179
chloride,179
outside,179
cauterized,179
fascial,179
organomegaly,179
interspace,179
image,179
ports,179
fossa,179
vehicle,179
cystoscopy,179
appendectomy,178
fully,178
adrenal,178
testis,178
jugular,178
flank,178
drink,178
adjacent,178
cold,178
gallops,178
hepatosplenomegaly,178
holding,177
probe,177
plaque,177
hyperlipidemia,177
rongeur,177
pds,177
provide,177
tibia,177
encountered,176
cholesterol,176
xii,176
symmetrical,176
prepared,175
dizziness,175
worked,175
called,175
moved,175
constipation,175
tachycardia,175
sinuses,175
wheezes,175
benefit,175
feeding,175
guidance,175
prolonged,175
finally,175
drops,175
water,175
anesthetized,175
retractors,174
failed,174
wbc,174
cognitive,174
bandage,173
abnormality,173
urinalysis,173
fine,173
tablet,173
requested,173
angioplasty,173
showing,173
preoperatively,173
spleen,173
evening,173
pump,173
dysuria,172
percussion,172
established,172
hardware,172
lost,172
consider,172
verified,172
intraocular,171
hemostatic,171
maximum,171
keep,171
mucous,171
axial,171
bronchoscope,171
prone,171
located,171
enlargement,171
already,171
osteoarthritis,170
parietal,170
iron,170
hard,170
reflex,170
immediate,170
constitutional,170
know,170
birth,169
fourth,169
safety,169
hemostat,169
origin,169
elected,168
auditory,168
accomplished,168
patellar,168
series,168
stitches,168
neural,168
vena,168
rim,168
experienced,168
fractures,168
patch,167
reconstruction,167
perforation,167
tender,167
frequent,167
permanent,167
conjunctivae,167
scale,167
seconds,167
conservative,167
lithotomy,167
moderately,167
december,166
records,166
tablets,166
thrombosis,166
underneath,166
analysis,166
obese,166
labs,165
reportedly,165
difficulties,164
syncope,164
occlusion,164
cortical,164
saphenous,164
genitalia,163
rotated,163
cava,163
injections,163
contents,163
prophylaxis,163
transfer,163
repaired,162
heard,162
require,162
specific,162
bodies,162
entry,162
dvt,162
hepatitis,162
pre,162
irregular,162
observed,161
tsh,161
thus,161
come,161
platelets,161
arms,161
mi,161
veress,161
despite,161
fentanyl,161
dementia,161
refill,161
drawn,160
flaps,160
collateral,160
smooth,160
ovarian,160
cigarettes,160
hallux,160
might,160
impacted,160
primarily,159
hr,159
relatively,159
conduction,159
stab,159
band,158
esmarch,158
portal,158
herniation,158
qd,158
complained,158
compartment,158
maxillary,158
sweats,158
preserved,158
question,157
fold,157
probable,157
tms,157
generalized,157
loose,157
mandible,157
impairment,157
vicodin,156
baseline,156
works,156
scrotal,156
nuclear,156
wave,156
clips,156
prevent,156
neurovascular,156
traction,156
ischemic,156
lisinopril,155
bedtime,155
young,155
ulcer,155
quit,155
seemed,155
concerns,155
allograft,155
j,154
articular,154
pmh,154
endocrine,154
resting,154
duodenum,154
transplant,153
diabetic,153
etiology,153
clearly,153
beats,153
title,153
lumbosacral,153
freed,153
repeated,152
os,152
tonsil,152
ointment,152
covered,152
obtaining,151
dominant,151
name,151
capillary,151
believe,151
perfusion,151
replaced,151
output,151
rales,151
maternal,150
ptt,150
postop,150
nipple,150
mixture,150
aspirated,150
tried,150
absent,149
different,149
plavix,149
includes,149
gastroesophageal,149
ahead,149
factors,149
percutaneous,148
nurse,148
membrane,148
portions,148
tingling,148
written,148
fallopian,148
pin,148
gauze,148
eeg,147
successful,147
symptomatic,147
clots,147
documented,147
laid,147
copd,147
drinks,147
signed,147
acid,147
cephalic,147
etc,147
directly,147
breasts,147
mattress,147
making,146
penicillin,146
observation,146
points,146
deflated,146
mayo,146
lying,146
beginning,146
osteophytes,145
life,145
elevator,145
periosteum,145
profile,145
bacitracin,145
rhonchi,145
standing,144
subsequent,144
serial,144
meniscus,144
mixed,144
recurrence,144
prescribed,144
event,144
suspicious,144
approximate,144
nonsmoker,144
mobilized,144
de,144
periosteal,143
endoscope,143
setting,143
direction,143
step,143
metatarsophalangeal,143
prep,143
laminectomy,143
ensure,143
instilled,142
cannulated,142
cva,142
eyelid,142
implantation,142
concerned,142
purulent,142
surgeon,142
diastolic,142
causing,142
july,142
distribution,142
fell,141
frozen,141
pouch,141
otitis,141
arch,141
comfortable,141
rapid,141
testicle,141
dilator,141
excessive,141
concern,141
gram,141
po,141
enough,140
albuterol,140
intensive,140
fragment,140
dialysis,139
fhx,139
lip,139
relief,139
gets,139
interpretation,139
calf,139
pneumatic,139
subdural,139
score,139
tonsillar,138
coronal,138
ischemia,138
steroid,138
bur,138
placenta,138
particularly,138
thick,138
oximetry,138
media,138
rupture,138
drilled,138
deepened,137
selective,137
split,137
labor,137
cruciate,137
icu,137
extra,137
understanding,137
loop,137
pigtail,137
lap,136
together,136
handed,136
quality,136
wide,136
bulging,136
hemorrhoids,136
recall,136
wanted,136
e,136
discontinued,136
retraction,136
coming,136
obtuse,136
discuss,136
leak,135
markedly,135
shx,135
clinically,135
understands,135
craniotomy,135
effects,135
fingers,135
systemic,135
strong,135
platysma,135
compared,135
gradient,135
trace,134
ulcers,134
prognosis,134
beta,134
medicine,134
gently,134
roll,134
suicidal,134
laparotomy,134
rr,134
topical,134
decubitus,134
corneal,134
nodules,134
hct,134
cesarean,134
laryngeal,133
fields,133
fixed,133
responses,133
suggestive,133
penile,133
recommendation,133
exploration,133
gallop,133
basal,133
intracranial,133
tomorrow,133
liters,133
identification,132
vocal,132
intercostal,132
revision,132
kerlix,132
insufflated,132
shaft,132
holes,132
tricuspid,132
adequately,132
partially,132
preparation,132
june,131
describes,131
bronchoscopy,131
dependent,131
infusion,131
gas,131
aid,131
displaced,131
drained,131
shape,131
groove,131
soaked,131
attachments,131
jvd,130
morphine,130
tight,130
doses,130
window,130
treatments,130
guarding,130
look,130
sore,130
verbal,130
melena,129
normally,129
distention,129
conditions,129
son,129
maintain,129
endoscopic,129
hypertrophic,129
roots,129
pharynx,129
brachial,129
tracheostomy,129
lamina,129
rebound,128
administration,128
sustained,128
ace,128
encouraged,128
consulted,128
facility,128
assess,128
crease,128
behind,128
finding,128
stools,128
sized,128
catheters,128
stones,127
cortex,127
instability,127
index,127
calcification,127
create,127
ounces,127
spinous,127
true,127
ice,127
almost,127
swallow,127
ankles,126
digits,126
undergone,126
extraction,126
intrauterine,126
bile,126
doubly,126
team,126
aggressive,126
preop,126
distended,126
f,125
digit,125
coagulation,125
scrotum,125
assistance,125
cardiopulmonary,125
expose,125
correction,125
anatomic,125
heavy,125
top,124
arthroplasty,124
radical,124
infected,124
tonsils,124
dysarthria,124
isolated,124
healed,124
sugar,124
hallucinations,124
far,124
infections,124
stapler,124
fair,124
aware,124
forward,123
desires,123
gradually,123
notch,123
solid,123
find,123
alt,123
fit,123
allergy,123
xxx,123
piece,123
born,123
boy,123
planning,123
trying,123
minor,122
nasopharynx,122
job,122
distraction,122
admits,122
curette,122
unchanged,122
pad,122
orthopedic,122
protected,121
marrow,121
raised,121
matter,121
debris,121
postoperatively,121
events,121
filling,120
z,120
suprapubic,120
vault,120
fibroid,120
dried,120
components,120
adnexal,120
diaphragm,120
cheek,120
november,120
surfaces,120
rather,120
camera,119
glenoid,119
omentum,119
earlier,119
conclusion,119
exertion,119
liquid,119
exudate,119
goal,119
ethibond,119
sternocleidomastoid,119
extremely,118
differential,118
ancef,118
deferred,118
ileum,118
fragments,118
pass,118
conscious,118
complication,118
epigastric,118
staff,118
splint,118
speed,118
screening,118
quadrants,118
serum,117
endometrial,117
dd,117
debrided,117
anatomy,117
sample,117
placing,117
adult,117
become,117
lack,117
pediatric,117
occipital,117
pains,117
cellulitis,117
vas,117
pronator,117
aphasia,117
questionable,116
reading,116
laser,116
expected,116
coughing,116
lady,116
anything,116
neoplasm,116
stem,116
dural,116
velocity,116
dl,116
vertical,116
healing,116
certainly,116
condyle,116
dissect,116
dilation,116
canals,116
hiatal,115
onto,115
cycle,115
hemoptysis,115
seeing,115
hold,115
seem,115
ast,115
metoprolol,115
longer,115
widely,115
suspected,115
flexible,115
frequently,115
january,114
laparoscope,114
hospitalized,114
neuro,114
volar,114
impingement,114
formation,114
worsened,114
nares,114
terms,114
tenaculum,114
adenocarcinoma,114
humerus,114
allis,114
candidate,114
august,114
ligation,114
coordination,113
receive,113
gives,113
demonstrate,113
obturator,113
moving,113
bulk,113
attachment,113
carbohydrate,113
kept,113
tremor,113
conjunctiva,113
ovaries,113
determined,113
tape,113
bruit,112
tolerate,112
osteophyte,112
hair,112
ostium,112
pacing,112
operations,112
spaces,112
rib,112
gut,112
voice,112
cup,111
indicates,111
hpi,111
video,111
shaped,111
numerous,111
things,111
growth,111
trouble,111
albumin,111
stability,111
slow,111
postanesthesia,111
retired,111
contour,111
leads,111
october,111
presence,111
bronchus,111
assisted,111
meal,110
hiv,110
caused,110
treat,110
balance,110
infraumbilical,110
foraminal,110
tubal,110
meticulous,110
recheck,110
rub,110
bunion,110
tracheal,110
instruments,110
usually,110
panel,110
dilatation,110
gen,110
wished,110
immunizations,110
situation,110
kerrison,109
confirm,109
calcified,109
resistance,109
effort,109
move,109
processes,109
limb,109
plans,109
skull,109
cardiology,109
retaining,109
arthroscopic,109
waiting,109
progressively,109
meals,108
paroxysmal,108
evident,108
vitals,108
squamous,108
caudal,108
etoh,108
respectively,108
unclear,108
intake,108
assist,107
doppler,107
rehabilitation,107
improving,107
gastrostomy,107
regions,107
calculated,107
okay,106
lipitor,106
development,106
mesh,106
diplopia,106
adenoid,106
pectoralis,106
mean,106
substance,106
peak,106
sacral,106
weak,105
stiffness,105
pulposus,105
hook,105
av,105
embolism,105
glands,105
fasting,105
hydrocephalus,105
gelfoam,105
fibrosis,105
anticoagulation,105
heel,105
sensitivity,105
jackson,105
incident,105
osseous,105
lymphatic,105
power,105
bleed,105
cords,105
attempts,105
deviation,105
migraine,104
od,104
angina,104
dye,104
sometimes,104
explored,104
medium,104
exposing,104
larger,104
cleansed,104
cast,104
involvement,104
yellow,104
collection,104
weighted,104
broad,103
request,103
levaquin,103
grafts,103
remarkable,103
neurology,103
stricture,103
thumb,103
maneuver,103
shift,103
waves,103
personal,103
scarring,103
fundus,103
sepsis,103
bimanual,102
progress,102
appendicitis,102
bilirubin,102
gestational,102
closely,102
fiberoptic,102
strap,102
ent,102
damage,102
leaving,102
beneath,102
dense,102
lifting,102
diminished,102
para,102
smoker,102
sternal,102
specifically,101
suggested,101
prostatic,101
jaw,101
yyyy,101
laparoscopy,101
sedated,101
accommodation,101
asymmetry,101
amplitude,101
seven,101
alone,101
hypercholesterolemia,101
seated,101
lips,101
drift,101
nodule,101
secretions,100
protect,100
cosmetic,100
rheumatoid,100
bifurcation,100
wrapped,100
firm,100
pap,100
labrum,100
medrol,100
cath,100
bulb,100
beyond,100
visible,100
rhinitis,100
gravida,100
apical,100
deficiency,100
ruptured,100
developmental,100
mostly,100
cephalad,100
spontaneously,99
grams,99
average,99
localized,99
undyed,99
romberg,99
april,99
receiving,99
borderline,99
drop,99
referral,99
orthopnea,99
pedal,99
deficit,99
saturations,99
exchanged,99
begun,99
cholecystitis,99
pursestring,98
digitorum,98
tendons,98
consciousness,98
cpt,98
enhancement,98
paraspinal,98
testes,98
factor,98
transfusion,98
remains,98
compatible,98
screen,98
spray,98
ends,98
cytology,97
wet,97
reached,97
suggesting,97
talked,97
complicated,97
webril,97
anicteric,97
ventral,97
needles,97
subacromial,97
unfortunately,97
thank,97
functioning,97
redness,97
